Company,Designation,Skills,Achievements,Status
Microsoft,Cloud Architect,"Machine Learning, C#, AWS, Scalability, Azure, Terraform, Network Security, Python","Migrated legacy system to cloud, reducing operational cost by 20.0% | Designed a highly available, multi-region architecture for 8M users",Accepted
Amazon,Product Manager,"Market Analysis, AWS, Jira, Machine Learning, Agile, Scalability, Leadership","Defined 1-year product roadmap, securing $1.17M in budget",Accepted
Google,Cloud Architect,"Python, Leadership, Java, Scalability, SQL, AWS, Azure","Migrated legacy system to cloud, reducing operational cost by 7.4%",Rejected
Google,Product Manager,"Communication, Python, SQL, Agile, Machine Learning","Defined 1-year product roadmap, securing $0.18M in budget | Increased user retention by 7.1% through key feature roll-out",Rejected
Google,DevOps Engineer,"Kubernetes, Monitoring, CI/CD, Machine Learning, Leadership, Python, Docker","Implemented CI/CD pipeline, reducing deployment time from 3 hours to 96 minutes | Improved system uptime to 2.7%",Rejected
Salesforce,Cloud Architect,"Communication, SQL, Machine Learning, Java, AWS","Migrated legacy system to cloud, reducing operational cost by 17.5%",Accepted
Infosys,Data Scientist,"Machine Learning, Java, Python, SQL, Data Visualization, Communication","Improved model accuracy by 19.3% | Designed A/B test for product feature, resulting in 17.0% conversion increase",Accepted
Microsoft,Cloud Architect,"Scalability, AWS, Network Security, Leadership, Azure, Terraform, C#, Kubernetes","Improved infrastructure deployment speed by 12.0% | Designed a highly available, multi-region architecture for 18M users",Accepted
Microsoft,Product Manager,"Roadmapping, Python, Agile, Market Analysis, SQL, C#, UX/UI Principles, AWS","Launched new product feature, generating $0.4M in Q1 revenue | Increased user retention by 2.3% through key feature roll-out",Rejected
Infosys,Software Engineer,"Scalability, Communication, Data Structures, Java, Python, Agile, CI/CD, AWS",Reduced application crash rate by 16.2% | Led a team of 8 developers on a key project,Accepted
Microsoft,Data Scientist,"Agile, Communication, Python, Scalability, Machine Learning, R, Data Visualization, C#",Reduced data processing time by 14.0% | Improved model accuracy by 20.8%,Accepted
Amazon,Data Scientist,"C#, Scalability, TensorFlow, Data Visualization, Statistics, Communication, R","Designed A/B test for product feature, resulting in 11.3% conversion increase | Reduced data processing time by 19.7%",Accepted
Infosys,DevOps Engineer,"Kubernetes, CI/CD, Docker, SQL, Terraform, Python","Automated 18 infrastructure tasks, saving 20 team-hours per week",Accepted
Microsoft,Cloud Architect,"Agile, Python, Kubernetes, AWS, SQL, C#, Terraform",Improved infrastructure deployment speed by 5.2%,Rejected
Amazon,Cloud Architect,"Communication, AWS, Python, Kubernetes, Scalability, Terraform","Designed a highly available, multi-region architecture for 19M users",Accepted
